date,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2023-10-13 04:00:00+00:00,25.923496,0.09413147,12.960357,0,0,40970.15,37949.613,0.0,0.0,0.0,0.0,5.101145,21.2515,249.24416
2023-10-14 04:00:00+00:00,24.230137,2.9921455,13.748622,0,0,40837.656,33583.473,0.003937008,0.0,0.027559055,1.0,6.5027094,28.409899,249.67676
2023-10-15 04:00:00+00:00,16.650864,-9.532982,5.362347,0,0,40705.543,34939.625,0.18110235,0.0,1.2677164,12.0,5.716399,17.4486,248.43547
2023-10-16 04:00:00+00:00,18.39281,-0.32366562,10.500601,0,0,40573.918,31343.87,0.07086614,0.0,0.49606293,12.0,3.1793742,14.093101,165.00488
2023-10-17 04:00:00+00:00,17.165699,-4.9162903,5.4131203,0,0,40442.875,35680.5,0.023622047,0.0,0.16535433,2.0,3.9828653,12.5272,260.13422
2023-10-18 04:00:00+00:00,13.157345,-9.44672,1.4146749,0,0,40312.52,35920.883,0.0,0.0,0.0,0.0,4.474,12.974601,285.47134
2023-10-19 04:00:00+00:00,12.540312,-11.203712,0.4233893,0,0,40182.96,37128.69,0.0,0.0,0.0,0.0,4.7453933,12.750899,250.87466
2023-10-20 04:00:00+00:00,14.58379,-9.651806,3.3177083,0,0,40054.3,36993.754,0.0,0.0,0.0,0.0,4.906124,15.8827,246.22763
2023-10-21 04:00:00+00:00,15.655682,-9.370491,4.5121922,0,0,39926.656,36859.656,0.0,0.0,0.0,0.0,4.906124,14.5405,240.98488
2023-10-22 04:00:00+00:00,17.10894,-10.843147,3.4182308,0,0,39800.13,36097.67,0.007874016,0.0,0.05511811,2.0,5.3734584,21.2515,237.65256
2023-10-23 04:00:00+00:00,14.990925,-6.7432404,3.4833698,0,0,39674.844,36594.49,0.0,0.0,0.0,0.0,4.124824,12.750899,246.8734
2023-10-24 04:00:00+00:00,13.98448,-8.481167,2.6088948,0,0,39550.906,36463.668,0.055118114,0.0,0.38582677,7.0,4.3434687,13.1983,206.0033
2023-10-25 04:00:00+00:00,13.599655,-10.418678,1.0506316,0,0,39428.086,36333.824,0.0,0.0,0.0,0.0,4.9264812,13.422,234.70929
2023-10-26 04:00:00+00:00,15.6615505,-9.941093,2.2405841,0,0,39305.37,36203.984,0.0,0.0,0.0,0.0,5.07163,13.6456995,222.09604
2023-10-27 04:00:00+00:00,17.06773,-11.951458,2.6022513,0,0,39182.79,36074.1,0.0,0.0,0.0,0.0,5.378113,15.4353,222.13745
